B                 Greedy            Random            AUCB              Baseline_CACI_OFF CACI_OFF          UWR               
1000.00           843.70            844.31            843.47            0.00              650.76            1147.70           
2000.00           1806.95           1807.96           1807.85           0.00              1529.28           2403.68           
3000.00           2660.28           2660.84           2661.04           0.00              2047.20           3549.61           
4000.00           3432.90           3433.27           3433.50           0.00              2582.97           4469.04           
5000.00           4315.87           4316.97           4316.63           0.00              3331.78           5850.21           
6000.00           5017.33           5018.18           5018.21           0.00              3554.55           6542.25           
7000.00           6014.20           6014.59           6015.06           0.00              4425.11           7937.58           
8000.00           7740.78           7741.86           7741.79           0.00              5942.68           9992.49           
9000.00           8129.91           8131.30           8131.07           0.00              6373.07           10690.80          
10000.00          8542.60           8543.44           8543.14           0.00              6026.06           11268.40              
