B                 Greedy            Random            AUCB              Baseline_CACI_OFF CACI_OFF          UWR               
1000.00           1002.05           1001.44           1002.28           1845.75           1194.99           698.05            
2000.00           2002.49           2001.48           2001.59           3809.43           2280.15           1405.76           
3000.00           3002.47           3001.91           3001.71           5662.75           3615.55           2113.15           
4000.00           4002.40           4002.02           4001.80           7435.30           4852.33           2966.26           
5000.00           5002.58           5001.47           5001.82           9318.45           5986.67           3468.24           
6000.00           6002.64           6001.79           6001.76           11019.97          7465.42           4477.72           
7000.00           7002.36           7001.97           7001.50           13016.56          8591.45           5078.98           
8000.00           8002.86           8001.78           8001.85           15743.64          9800.96           5751.16           
9000.00           9002.92           9001.53           9001.76           17132.83          10759.76          6442.03           
10000.00          10002.64          10001.80          10002.10          18545.24          12519.19          7276.84               
