K                 Greedy            Random            AUCB              Baseline_CACI_OFF CACI_OFF          UWR               
5.00              4088.51           4088.58           4089.33           0.00              2566.88           5563.61           
6.00              3873.52           3874.52           3874.64           0.00              2854.22           5418.05           
7.00              3285.65           3287.04           3286.09           0.00              2402.81           4655.10           
8.00              3225.99           3225.60           3226.31           0.00              2571.04           4729.52           
9.00              2626.56           2627.30           2628.25           0.00              2078.61           4106.43           
10.00             2281.71           2281.45           2282.07           0.00              1997.47           3840.79           
11.00             2386.69           2387.33           2387.54           0.00              2164.88           3901.34           
12.00             2111.82           2113.47           2113.97           0.00              1861.03           3593.89           
13.00             1855.03           1856.16           1857.36           0.00              1869.62           3367.95           
14.00             1483.54           1486.06           1485.56           0.00              1458.31           3037.23           
15.00             1446.92           1447.79           1447.06           0.00              1396.28           2904.99           
