K                 Greedy            Random            AUCB              Baseline_CACI_OFF CACI_OFF          UWR               
5.00              5002.15           5002.08           5001.32           9090.66           6523.77           3527.05           
6.00              5003.13           5002.12           5002.00           8876.64           6022.43           3458.59           
7.00              5003.27           5001.89           5002.84           8288.93           5886.12           3633.83           
8.00              5003.50           5003.89           5003.17           8229.49           5658.45           3499.97           
9.00              5004.14           5003.40           5002.45           7630.70           5552.09           3524.27           
10.00             5003.57           5003.83           5003.21           7285.28           5287.81           3444.49           
11.00             5004.67           5004.03           5003.81           7391.36           5226.48           3490.02           
12.00             5005.79           5004.14           5003.64           7117.62           5256.59           3523.72           
13.00             5006.01           5004.88           5003.68           6861.04           4991.42           3493.09           
14.00             5006.76           5004.23           5004.73           6490.29           5031.98           3453.06           
15.00             5006.29           5005.42           5006.15           6453.21           5056.93           3548.22           
