N                 Greedy            Random            AUCB              Baseline_CACI_OFF CACI_OFF          UWR               
25.00             3316.91           3317.47           3316.98           0.00              2027.72           4250.13           
30.00             3398.30           3399.38           3399.15           0.00              2128.02           4399.64           
35.00             4182.88           4183.73           4183.75           0.00              2707.35           5376.79           
40.00             3468.14           3468.17           3468.10           0.00              2237.82           4603.96           
45.00             4747.10           4747.20           4747.30           0.00              3747.10           6113.90           
50.00             4297.10           4298.24           4297.66           0.00              2973.64           5796.62           
55.00             4148.43           4149.27           4149.10           0.00              3033.04           5753.20           
60.00             4630.13           4630.55           4630.85           0.00              3341.75           6392.95           
65.00             4731.47           4732.08           4731.55           0.00              4116.69           6640.53           
70.00             4912.27           4912.90           4913.03           0.00              4434.32           6720.09           
75.00             4656.69           4657.48           4657.35           0.00              4129.23           6506.90           
80.00             4894.82           4894.92           4895.13           0.00              3797.53           6755.94           
85.00             4867.09           4867.64           4867.80           0.00              3528.80           6615.76           
90.00             5019.44           5019.91           5020.05           0.00              3992.78           6841.75           
95.00             5766.02           5767.35           5767.16           0.00              4312.78           7637.73           
99.00             5594.97           5596.20           5596.11           0.00              4302.96           7499.09           
