N                 Greedy            Random            AUCB              Baseline_CACI_OFF CACI_OFF          UWR               
25.00             5002.43           5001.87           5002.36           8319.34           6291.62           4069.21           
30.00             5002.66           5001.58           5001.81           8400.96           6272.94           4001.31           
35.00             5002.38           5001.53           5001.51           9185.26           6477.91           3808.47           
40.00             5001.97           5001.94           5002.01           8470.11           6232.29           3866.15           
45.00             5002.03           5001.92           5001.82           9749.12           6002.02           3635.23           
50.00             5002.57           5001.43           5002.01           9299.67           6326.03           3503.04           
55.00             5002.53           5001.69           5001.86           9150.96           6117.92           3397.76           
60.00             5002.16           5001.73           5001.43           9632.28           6290.53           3239.33           
65.00             5002.03           5001.42           5001.96           9733.50           5616.81           3092.98           
70.00             5002.02           5001.39           5001.26           9914.29           5479.97           3194.20           
75.00             5002.19           5001.39           5001.53           9658.87           5529.64           3151.97           
80.00             5001.66           5001.55           5001.34           9896.47           6098.94           3140.53           
85.00             5002.36           5001.80           5001.65           9869.45           6340.64           3253.68           
90.00             5002.17           5001.71           5001.56           10021.62          6028.83           3179.87           
95.00             5002.77           5001.44           5001.63           10768.79          6456.01           3131.06           
99.00             5002.66           5001.43           5001.52           10597.63          6294.66           3098.53           
