B                 Greedy            Random            Baseline_CACI_ON  CACI_ON           
1000.00           887.71            888.03            0.00              58.39             
2000.00           1587.49           1588.17           0.00              168.67            
3000.00           2528.00           2528.53           0.00              380.07            
4000.00           3519.48           3519.96           0.00              173.96            
5000.00           3695.71           3695.90           0.00              446.99            
6000.00           5537.74           5538.02           0.00              1076.41           
7000.00           6096.22           6096.31           0.00              -29.31            
8000.00           6489.78           6490.73           0.00              735.99            
9000.00           7849.71           7850.51           0.00              1915.41           
10000.00          8188.27           8188.85           0.00              -84.81            
