B                 Greedy            Random            Baseline_CACI_ON  CACI_ON           
1000.00           1002.02           1001.69           1889.72           1831.34           
2000.00           2002.34           2001.65           3589.83           3421.15           
3000.00           3002.59           3002.06           5530.59           5150.52           
4000.00           4002.28           4001.81           7521.76           7347.80           
5000.00           5002.22           5002.03           8697.93           8250.94           
6000.00           6002.23           6001.96           11539.97          10463.56          
7000.00           7001.91           7001.83           13098.13          13127.45          
8000.00           8002.61           8001.66           14492.39          13756.40          
9000.00           9002.56           9001.77           16852.28          14936.87          
10000.00          10002.23          10001.65          18190.50          18275.32          
