K                 Greedy            Random            Baseline_CACI_ON  CACI_ON           
5.00              4648.71           4649.76           0.00              650.66            
6.00              3847.73           3848.38           0.00              950.09            
7.00              3403.01           3404.26           0.00              401.09            
8.00              2869.82           2870.94           0.00              41.29             
9.00              2492.09           2493.23           0.00              38.97             
10.00             2532.69           2533.42           0.00              564.19            
11.00             2104.98           2106.65           0.00              520.07            
12.00             1829.78           1831.23           0.00              177.54            
13.00             1829.46           1831.60           0.00              461.53            
14.00             1417.31           1417.31           0.00              368.81            
15.00             1283.56           1286.41           0.00              128.37            
