K                 Greedy            Random            Baseline_CACI_ON  CACI_ON           
5.00              5002.64           5001.59           9651.35           9000.70           
6.00              5002.14           5001.50           8849.88           7899.79           
7.00              5003.12           5001.88           8406.13           8005.05           
8.00              5004.32           5003.19           7874.14           7832.84           
9.00              5003.90           5002.76           7495.99           7457.02           
10.00             5004.26           5003.53           7536.95           6972.76           
11.00             5005.85           5004.17           7110.82           6590.75           
12.00             5005.62           5004.17           6835.40           6657.86           
13.00             5006.28           5004.15           6835.74           6374.21           
14.00             5005.11           5005.11           6422.42           6053.61           
15.00             5007.43           5004.58           6290.99           6162.62           
