N                 Greedy            Random            Baseline_CACI_ON  CACI_ON           
25.00             3282.20           3282.88           0.00              398.96            
30.00             4025.39           4025.26           0.00              878.52            
35.00             4090.32           4090.65           0.00              423.12            
40.00             4128.11           4128.74           0.00              493.55            
45.00             4136.47           4136.82           0.00              384.08            
50.00             4230.13           4230.61           0.00              382.07            
55.00             5529.07           5529.71           0.00              2597.31           
60.00             4514.35           4514.94           0.00              504.33            
65.00             4383.37           4384.07           0.00              1598.24           
70.00             4573.79           4574.07           0.00              1290.72           
75.00             4974.41           4975.37           0.00              1183.84           
80.00             5062.50           5063.26           0.00              1290.33           
85.00             5765.27           5766.54           0.00              1810.74           
90.00             5170.00           5170.90           0.00              268.74            
95.00             5893.81           5893.78           0.00              2304.07           
99.00             6217.21           6217.83           0.00              2072.94           
