N                 Greedy            Random            Baseline_CACI_ON  CACI_ON           
25.00             5002.67           5001.99           8284.87           7885.90           
30.00             5002.05           5002.18           9027.45           8148.92           
35.00             5002.00           5001.68           9092.33           8669.21           
40.00             5002.41           5001.78           9130.52           8636.97           
45.00             5002.11           5001.76           9138.58           8754.50           
50.00             5002.37           5001.88           9232.50           8850.43           
55.00             5002.45           5001.81           10531.52          7934.20           
60.00             5002.48           5001.89           9516.83           9012.50           
65.00             5002.24           5001.54           9385.61           7787.37           
70.00             5001.96           5001.69           9575.75           8285.04           
75.00             5002.27           5001.31           9976.68           8792.84           
80.00             5002.24           5001.48           10064.74          8774.41           
85.00             5002.72           5001.45           10767.99          8957.25           
90.00             5002.40           5001.50           10172.40          9903.67           
95.00             5001.93           5001.95           10895.73          8591.66           
99.00             5002.52           5001.90           11219.73          9146.79           
